unique_trs_id,Latitude,Longitude,BatteryisCharging,Battery Percentage,CO2,Preasure Hg,Humidity %,Temperature C,Speed KM,Date,Time
-Lug8UqYPvk6aTXi2pL3,25.04364014,55.11866072,,,,,,,,,,
-Lug8VmL_MDjsfABbTL9,25.04368507,55.11875664,,,,,,,,,,
-LurtxGRLbzZm7DA3Ur1,25.0480823,55.12336233,,,,,,,,,,
-Lv-RMQLM922esrj37FL,25.26474767,55.30392051,,,,,,,,,,
-Lv-nPBRR_jV4vCwLsAc,25.26421668,55.30594365,,,,,,,,,,
-Lv0pDROJU2zpZcxBJm-,25.04206848,55.11998814,,,,,,,,,,
-Lv0wAXnh0lMlMMy7ulH,25.20393372,55.27134836,,,,,,,,,,
-LvGN8umAPRTpJ1qYQJ3,25.15090942,55.20001375,,,,,,,,,,
-LvGNKaRv4ErVIsWzhYt,25.15318298,55.20204533,,,,,,,,,,
-LvHD8J1qQFVYLkyoRJQ,25.11627197,55.17255086,,,,,,,,,,
-LvHDPmE2L0R55NS8csR,25.10946655,55.165846,,,,,,,,,,
-LwOpyDiRSemvquMJkuG,25.1570282,55.20560673,,,,,,,,,,
-LwOpz8Zc2EZMmyPssjd,25.15704046,55.20560673,,,,,,,,,,
-LwoTyDQmjX3wdLcK9ly,25.04048157,55.12876346,,,,,,,,,,
-Lv-RJCThU5EJZuE3kJ3,25.26486206,55.30387642,,,,,,,,,,
-Lv-RL7sh_bW38aYN4jx,25.26474767,55.30392051,,,,,,,,,,
-Lv-nMYuKRU6LRBydqVJ,25.26428223,55.30593778,,,,,,,,,,
-Lv-nWyDcJaUmUHFF-mG,25.26429749,55.30592294,,,,,,,,,,
-LvGMHr65gb_V-YCyjSG,25.13824359,55.18927384,,,,,,,,,,
-LvGNJ29OZKXZi0B5fBL,25.15213013,55.20097955,,,,,,,,,,
-LwNxG2k6JGtNVfJWuf6,,,True,100.0,,,,,,,,
-LurtorcZErvObV8HkBi,25.0480957,55.12334833,,,,,,,,,,
-LusMzzRSY2KymUOcQD3,25.04794312,55.12322726,,,,,,,,,,
-LuwEFvdAgnaVx9DJ766,25.04055786,55.1287846,,,,,,,,,,
-LuwETVRzUAvTBMVmRci,25.04058838,55.12906253,,,,,,,,,,
-Lv-nUM8Ad5Vdk2uGll6,25.26441956,55.30600656,,,,,,,,,,
-Lv0p2RUjMRLRhfih5xu,,,False,99.00000095367432,,,,,,,,
-Lv0pG6TLg1_pEa1sHTw,25.04212952,55.11963146,,,,,,,,,,
-LvGNLwUhEt8k8C2olCC,25.1537035,55.20255497,,,,,,,,,,
-LvHCn9-WoqUMVdrQezg,25.12904914,55.18491316,,,,,,,,,,
-LvHDYT_gOsQhcU25QTk,25.10447693,55.16118826,,,,,,,,,,
-LvHDsHPazcvXkgr7soE,25.09483337,55.15184722,,,,,,,,,,
-LvHDwetzlEyrXxCmuLc,25.09307861,55.15013639,,,,,,,,,,
-Lurtm03IA6PuGU05axn,,,True,93.99999976158142,,,,,,,,
-LuvIM6BGHttJQJVTNFb,25.04243469,55.11817987,,,,,,,,,,
-Luvab80wU7_bunALhSV,,,False,52.99999713897705,,,,,,,,
-Lv0wC8sNGbk1U2llXAu,25.20352173,55.27128247,,,,,,,,,,
-Lv0yBDOht0XFX_9XMWa,25.20888497,55.26320432,,,,,,,,,,
-Lv0yBmy7c0z7Iitj4fm,25.20887756,55.26320432,,,,,,,,,,
-LvGNNf_NQuUW6JloUxJ,25.15423584,55.20303877,,,,,,,,,,
-LvGNOgarrrWizxznjYs,25.15481385,55.20355417,,,,,,,,,,
-LvGNUkuLsxY_ea1p5H_,25.15583414,55.20442715,,,,,,,,,,
-LvHDHpotW8zJi4fOCE7,25.11247253,55.16875536,,,,,,,,,,
-LuwEGZgL_vKQtaQs7-F,25.04055786,55.1287846,,,,,,,,,,
-LvHCiWOhPa3vJgMZvlR,25.13090515,55.186729,,,,,,,,,,
-LvHD5u_fDAY2j8Abxzc,25.11827087,55.17448858,,,,,,,,,,
-LvHDS2C7RmqQn9PrQPN,25.10837161,55.16482995,,,,,,,,,,
-LvHDgj2gTn1K_QzqpQI,25.10066223,55.15747039,,,,,,,,,,
-LvHDl9qAJHArknzyVB1,25.0969696,55.15391763,,,,,,,,,,
-LuTWgVpEgBcljkTW9ZT,,,True,100.0,,,,,,,,
-LuTWj51ME5vogktdZTv,25.04853821,55.12353885,,,,,,,,,,
-LuTh4Pu8eVUjmaFmWFc,25.04026794,55.12909938,,,,,,,,,,
-LuTh6PIadj6qxK_febM,25.04057312,55.12932979,,,,,,,,,,
-LuU-zovtE-t0bz1GB--,,,False,92.00000166893005,,,,,,,,
-LuU01K4jV-A0EMjk-ke,25.0405426,55.12897886,,,,,,,,,,
-LuU06wuv6I-78izf6D8,25.04017639,55.1283769,,,,,,,,,,
-LuU0AuXlRBcYE33PLQ8,25.04060364,55.12911333,,,,,,,,,,
-LuU0Bj0s2B9LzaSNygp,25.04057312,55.12904671,,,,,,,,,,
-LuU0EPAticNR9YUKmid,25.04058838,55.12896092,,,,,,,,,,
-LuU3RLXfwtSXOIWfok8,25.04060364,55.12905651,,,,,,,,,,
-LuU3VIpIALbv0U3T8ew,25.04063416,55.12896391,,,,,,,,,,
-LuU3Vf2YO16eqg8_eNG,25.04045105,55.12865274,,,,,,,,,,
-LuU3XfYYZaSXWo-rrym,25.0406189,55.12881988,,,,,,,,,,
-LuWMAR9gQYbMiPtbMcA,25.04003906,55.12821292,,,,,,,,,,
-LuWlf5Ocj0PsaCoLme_,25.04042053,55.12801244,,,,,,,,,,
-LuWm16FdK5l40AGSv9b,25.04026794,55.1217177,,,,,,,,,,
-LuWmmCJNJdQuEUtzG4Q,25.04341125,55.11664457,,,,,,,,,,
-LuWn3ILMWehHiF5XJFF,25.04217529,55.11650037,,,,,,,,,,
-LuWnBRffjHI0nBtchnw,25.04237366,55.11655601,,,,,,,,,,
-LuWqn_WeTFm5AT7ndtF,25.04223633,55.11823289,,,,,,,,,,
-LuWyZ47a-PbQP9CoBdE,,,False,79.00000214576721,,,,,,,,
-LuXoKArn1nJhb-gt1mc,,,False,98.00000190734863,,,,,,,,
-LuXoM8AA5v0dU6Dv_Rm,25.04057312,55.12898851,,,,,,,,,,
-LuXoNBJ2PRLk3gRFxag,25.0405426,55.12913195,,,,,,,,,,
-LuYYDzqdrKOd8g7GQpA,25.20993042,55.25977705,,,,,,,,,,
-LuYj-Y8e7Ag5QRGVCPl,25.20992084,55.25975735,,,,,,,,,,
-LuYj32Ee3SHUbghqD7N,25.20987805,55.25972508,,,,,,,,,,
-LuYj4uzvS-dYRXMFyZK,25.20987805,55.25972508,,,,,,,,,,
-LuYzPzod7t1t-SZtcp1,25.28036499,55.35672785,,,,,,,,,,
-LuYzRn-VlGVDEr-7OXD,25.28056335,55.3564048,,,,,,,,,,
-LuYzSD4-7Hu2vPEpIvP,25.28057124,55.3564048,,,,,,,,,,
-LuYzSavhB7yvehgzJUE,25.28056335,55.3564048,,,,,,,,,,
-LuYzUROC1JFYIk2tqIk,25.28059278,55.35645677,,,,,,,,,,
-LuZ2jVnXJtzRjLq2gmc,25.11270142,55.18721969,,,,,,,,,,
